frame,track_id,x1,y1,x2,y2,cx,cy,score
93,1,304.41364,172.0566,654.69086,476.07706,479.55225,324.06683,0.9141516089439392
93,2,136.03564,174.35164,375.63684,475.92212,255.83624,325.13687,0.8884112238883972
93,3,0.0,268.71533,38.274162,477.93643,19.137081,373.32587,0.7756500244140625
93,4,536.5203,186.15636,648.3746,427.2417,592.44745,306.69904,0.7709655165672302
93,5,164.67468,219.5203,262.94006,344.03824,213.80737,281.77927,0.7471932172775269
93,6,623.2684,208.28503,738.10114,477.61826,680.68475,342.95166,0.6993540525436401
93,7,45.78531,247.70049,150.43831,476.58075,98.11181,362.14062,0.6152283549308777
93,8,782.25854,209.63557,853.19806,477.26083,817.7283,343.4482,0.5265335440635681
93,9,356.5827,241.78429,399.92413,317.20923,378.25342,279.49677,0.4224497377872467
94,1,299.1416,172.99936,663.9724,475.99057,481.557,324.49496,0.9065424203872681
94,2,135.41182,174.52953,375.83575,476.54297,255.62378,325.53625,0.8882312774658203
94,3,0.0,269.88815,34.105827,478.06302,17.052914,373.9756,0.7965703010559082
94,4,535.86395,185.91936,648.3796,419.96948,592.12177,302.94443,0.7342880368232727
94,5,164.7283,219.40932,262.57278,344.31232,213.65054,281.8608,0.7428134679794312
94,6,627.3482,208.83319,738.00085,477.35052,682.67456,343.09186,0.6669347286224365
94,7,47.614227,247.79489,150.51451,476.8196,99.06437,362.30725,0.6436125040054321
94,8,763.17114,209.94124,837.5368,469.65408,800.354,339.79767,0.4277108907699585
94,9,357.87842,241.11372,424.9509,318.0633,391.41467,279.5885,0.4239228367805481
95,1,295.4609,174.7842,679.1208,475.8822,487.29083,325.3332,0.9270333647727966
95,2,134.515,174.25974,375.57657,476.6287,255.04578,325.4442,0.8946999311447144
95,3,0.0,273.35965,32.3317,477.82477,16.16585,375.59222,0.7387092113494873
95,4,536.7557,186.04591,648.6004,421.283,592.67804,303.66446,0.8218966722488403
95,5,165.31477,219.11177,261.7807,345.46774,213.54773,282.28976,0.7308997511863708
95,6,630.80676,210.26572,737.65906,477.00748,684.2329,343.6366,0.6422737836837769
95,7,46.72503,247.53531,150.54306,476.83783,98.63405,362.18658,0.6662887930870056
95,8,787.7517,210.92899,853.7876,477.08868,820.76965,344.00885,0.4354594051837921
95,9,357.6525,241.3146,424.69165,317.54926,391.17206,279.43195,0.43686389923095703
96,1,305.3326,175.41576,689.43,475.94006,497.3813,325.67792,0.9358177185058594
