start_frame,end_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,95,9,0.7526178359985352,4.184159543419262,1.7474169384764355,6.135038527966404,0.680270412845648,308.1869201660156,4.002081844270053,0.6742896428683789,0.5522868928605136,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333209876548,0.22222221399176983,0.22222221399176983,0.22222221399176983,0.0,0.0,0.0
80,111,11,0.776386022567749,3.8286174694380355,1.058876332902772,7.995384716213913,0.9372764977296476,291.708251953125,4.2931205938450905,0.6858023845846027,0.5923415403777403,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8685714285714285,0.022857142857142857,0.03428571428571429,0.017142857142857144,0.02857142857142857,0.005714285714285714,0.0,0.022857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225737079432,0.22043010634177362,0.20430107417042434,0.28494623502717076,0.1612903217134929,0.0,0.0,0.0
96,127,13,0.8649192452430725,3.174895818862502,0.814500575204231,7.9969502983139265,0.9601700642231168,316.1130676269531,4.045602910825959,0.6760251008167485,0.6174466085094428,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9080118694362018,0.04451038575667656,0.0,0.02373887240356083,0.002967359050445104,0.011869436201780416,0.002967359050445104,0.005934718100890208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20285714227755103,0.18285714233469388,0.19142857088163265,0.3171428562367347,0.1057142854122449,0.0,0.0,0.0
112,143,15,0.8590673804283142,1.8311748786377093,0.3287658530931988,5.71404632113837,0.970704254088094,313.5169372558594,3.171999452078696,0.6403139817338165,0.6243068204767549,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9477611940298507,0.029850746268656716,0.004975124378109453,0.007462686567164179,0.0024875621890547263,0.0024875621890547263,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19424460385073236,0.1870503592636682,0.19904076690877515,0.31654676183082314,0.10311750574791965,0.0,0.0,0.0
128,159,16,0.8020254969596863,1.266034026534249,0.4113530319005339,3.639642089645901,0.9644581516935109,339.5610046386719,2.631034815076691,0.6173628922602807,0.6222236420118127,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9705215419501134,0.015873015873015872,0.009070294784580499,0.0,0.0022675736961451248,0.0,0.0,0.0022675736961451248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14660831477766234,0.22975929927842603,0.20131290984395425,0.2888402619500213,0.13347921196175228,0.0,0.0,0.0
144,175,15,0.8473371863365173,1.6029429253475111,0.4693241975940039,4.379427654656292,0.9647491896645717,297.5440979003906,2.8769408321361913,0.6278677261735899,0.6239168672603459,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9568181818181818,0.020454545454545454,0.011363636363636364,0.004545454545454545,0.004545454545454545,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14505494473614297,0.2703296697355392,0.16703296666586162,0.2813186807003985,0.13626373596425553,0.0,0.0,0.0
160,191,14,0.8568111658096313,1.4069148140008259,0.407031464210571,3.5403823887247583,0.9744450077753561,302.66778564453125,2.678490288574258,0.6193990385448335,0.6225615186456921,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.927360774818402,0.029055690072639227,0.012106537530266344,0.009685230024213076,0.007263922518159807,0.007263922518159807,0.0,0.007263922518159807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358313814149148,0.2997658072605016,0.1498829036302508,0.2997658072605016,0.11475409809191078,0.0,0.0,0.0
176,207,15,0.8321086764335632,1.0270762029133016,0.4220074924619826,2.2363692147593865,0.9770582022511877,276.1578369140625,2.3325207847299416,0.6044626563972653,0.617131859971164,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9367088607594937,0.030379746835443037,0.012658227848101266,0.007594936708860759,0.0,0.005063291139240506,0.002531645569620253,0.005063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14146341428911363,0.312195121189768,0.156097560594884,0.312195121189768,0.078048780297442,0.0,0.0,0.0
192,223,14,0.8385250568389893,0.6727466399207457,0.3689327613468734,1.1746051076189585,0.9724653450552583,283.8794860839844,2.0287686291442975,0.5911851830207181,0.6093478568860302,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.946987951807229,0.04096385542168675,0.007228915662650603,0.0024096385542168677,0.0,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888111883710695,0.29836829767280115,0.1818181813943632,0.29836829767280115,0.03263403255796263,0.0,0.0,0.0
208,239,14,0.7458610534667969,0.84055747608232,0.3247672806679939,1.6876108492891788,0.9591140258977242,318.2069091796875,2.164833033364939,0.5971504696188235,0.6056886407058681,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8963855421686747,0.05301204819277108,0.016867469879518072,0.007228915662650603,0.012048192771084338,0.007228915662650603,0.0,0.007228915662650603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20979020930118833,0.29836829767280115,0.21911421860346336,0.27272727209154485,0.0,0.0,0.0,0.0
224,255,14,0.7108907103538513,1.042090882945842,0.31714539671266023,2.0313565964387776,0.9675007860506618,305.48419189453125,2.3020403142745507,0.6031368920748066,0.6049231161165497,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8632707774798928,0.06166219839142091,0.029490616621983913,0.013404825737265416,0.021447721179624665,0.0,0.0,0.010723860589812333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19121446979014348,0.33074935315051845,0.21705426300502775,0.260981911470331,0.0,0.0,0.0,0.0
240,271,13,0.7410106658935547,1.4807461372405384,0.6706114657816419,2.921814400979734,0.9685043271195081,272.2024841308594,2.6116732113148804,0.6165309651762083,0.6084054708344473,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9022988505747126,0.05172413793103448,0.014367816091954023,0.005747126436781609,0.011494252873563218,0.008620689655172414,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1495844871202646,0.35457063613692347,0.2299168968700363,0.26592797710269256,0.0,0.0,0.0,0.0
256,287,16,0.8383097648620605,1.9507215707753796,0.858345890380609,4.756508644745804,0.9695210343485218,250.98011779785156,3.0754775456311356,0.6362622628200864,0.616762508430139,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9502762430939227,0.027624309392265192,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134920634563702,0.33862433772850703,0.25132275065787635,0.2539682532963803,0.0,0.0,0.01851851846952773,0.002645502638503961
