orig_frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,1093.0135,750.818,1168.1312,1007.3353,1130.5724,879.07666,0.7600523829460144
0,0,2,989.63745,979.03955,1084.3933,1079.491,1037.0154,1029.2653,0.7316200733184814
0,0,3,1.5990171,826.8324,101.43669,1079.7291,51.517853,953.28076,0.7121012806892395
0,0,4,92.37239,846.19293,184.07703,1079.2505,138.2247,962.7217,0.7032650113105774
0,0,5,1081.4944,579.3623,1159.8517,776.33453,1120.6731,677.8484,0.689283549785614
0,0,6,825.2871,492.59647,877.5315,676.8325,851.4093,584.7145,0.6461114287376404
0,0,7,1209.8779,923.1917,1300.0669,1079.616,1254.9724,1001.4038,0.611888587474823
0,0,8,471.56958,552.96924,531.9828,743.68036,501.77618,648.3248,0.5963796377182007
0,0,9,560.5428,698.3624,639.30927,954.57733,599.926,826.46985,0.565366804599762
0,0,10,552.92975,409.80322,596.7883,561.37634,574.859,485.58978,0.4854888319969177
0,0,11,588.16254,837.7634,675.87463,1080.0,632.01855,958.8817,0.4606471359729767
0,0,12,834.30115,725.1653,919.9677,987.0435,877.1344,856.1044,0.4548931419849396
0,0,13,948.9858,404.23227,1009.5866,553.366,979.2862,478.79913,0.43000277876853943
0,0,14,696.2181,396.31003,737.9174,533.51044,717.06775,464.91022,0.4205504059791565
0,0,15,421.1955,830.6393,540.65546,1080.0,480.92548,955.31964,0.415605366230011
0,0,16,624.7786,463.62454,678.35345,602.78906,651.56604,533.2068,0.3925951421260834
0,0,17,303.21393,666.2215,373.9957,928.03503,338.6048,797.1283,0.38989174365997314
0,0,18,214.16228,577.17065,277.44333,783.85986,245.8028,680.51526,0.356431245803833
1,1,1,1092.0975,754.98157,1170.3569,1012.41693,1131.2273,883.6992,0.7686325311660767
1,1,2,990.10223,983.4645,1084.0087,1079.3171,1037.0554,1031.3909,0.7148540616035461
1,1,3,1.2708263,827.98914,102.14991,1079.7008,51.71037,953.845,0.5914560556411743
1,1,4,91.60464,852.41626,171.66115,1079.2477,131.63289,965.832,0.7126897573471069
1,1,5,1077.9655,579.99036,1160.2958,784.49304,1119.1306,682.2417,0.6818821430206299
1,1,6,826.111,500.03085,877.9399,681.49023,852.02545,590.76056,0.6019324660301208
1,1,7,1209.988,927.85144,1292.4849,1079.5273,1251.2365,1003.6894,0.43318524956703186
1,1,8,470.38123,555.41376,529.62744,746.6358,500.00433,651.0248,0.5721874833106995
1,1,9,559.25696,700.40936,639.99725,976.4101,599.6271,838.4097,0.548212468624115
1,1,10,553.61206,410.37628,597.46344,564.07733,575.5377,487.2268,0.49257734417915344
1,1,11,587.4266,843.25946,677.2096,1079.4485,632.3181,961.354,0.5880765318870544
1,1,12,834.61664,729.3362,921.79193,999.7531,878.2043,864.5447,0.8148581981658936
1,1,13,949.69135,409.93533,1005.64417,552.2943,977.6677,481.1148,0.5061679482460022
1,1,14,697.1245,396.6197,738.18445,532.66327,717.6545,464.64148,0.3837892413139343
1,1,15,421.1955,830.6393,540.65546,1080.0,480.92548,955.31964,0.415605366230011
1,1,16,624.56726,464.42264,678.1421,606.5321,651.3547,535.47736,0.4829515814781189
1,1,17,303.21393,666.2215,373.9957,928.03503,338.6048,797.1283,0.38989174365997314
1,1,18,210.7017,580.12085,274.143,785.9119,242.42236,683.01636,0.37916824221611023
2,2,1,1090.7168,756.83344,1171.928,1013.4348,1131.3224,885.13416,0.7812953591346741
2,2,2,990.5036,989.8492,1084.6249,1079.383,1037.5642,1034.6161,0.7389631867408752
2,2,3,1.6594934,830.607,100.11154,1079.8135,50.885517,955.2102,0.5189613699913025
2,2,4,90.503845,856.2277,166.83276,1079.333,128.6683,967.7804,0.6683293581008911
2,2,5,1078.878,582.408,1161.2596,788.41815,1120.0688,685.4131,0.6798558235168457
2,2,6,829.0168,494.63058,879.02734,681.8737,854.0221,588.25214,0.6527784466743469
2,2,7,1211.4567,934.58606,1303.4984,1079.4498,1257.4775,1007.01794,0.5140920281410217
2,2,8,469.85345,556.4046,528.2972,745.9935,499.07532,651.1991,0.5872707366943359
2,2,9,557.8593,702.73157,639.94904,968.483,598.9042,835.6073,0.662464439868927
