frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
0,0,2,521.3208,909.3708,663.2405,1079.341,592.28064,994.35583,0.3833934962749481
2,1,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
2,1,2,521.3208,909.3708,663.2405,1079.341,592.28064,994.35583,0.3833934962749481
2,1,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
2,1,4,422.70526,799.75726,532.8533,1079.4874,477.77927,939.6223,0.35640084743499756
4,2,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
4,2,2,511.4098,938.79376,657.3229,1078.9677,584.36633,1008.88074,0.4010842442512512
4,2,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
4,2,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
6,3,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
6,3,2,511.4098,938.79376,657.3229,1078.9677,584.36633,1008.88074,0.4010842442512512
6,3,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
6,3,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
6,3,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
8,4,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
8,4,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
8,4,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
8,4,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
8,4,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
10,5,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
10,5,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
10,5,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
10,5,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
10,5,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
10,5,6,962.95703,870.5111,1080.3252,1078.9125,1021.6411,974.7118,0.38737502694129944
12,6,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
12,6,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
12,6,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
12,6,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
12,6,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
12,6,6,966.41565,878.3809,1082.7207,1078.9446,1024.5681,978.6627,0.387911856174469
12,6,7,387.495,864.927,487.01413,1079.3978,437.25458,972.1624,0.4831339716911316
12,6,8,1106.5908,907.37286,1213.5996,1079.5172,1160.0952,993.44507,0.36071664094924927
14,7,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
14,7,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
14,7,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
14,7,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
14,7,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
14,7,6,969.2425,890.41516,1081.2904,1079.3809,1025.2665,984.898,0.4930083453655243
14,7,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
14,7,8,1106.5908,907.37286,1213.5996,1079.5172,1160.0952,993.44507,0.36071664094924927
14,7,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
16,8,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
16,8,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
16,8,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
16,8,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
16,8,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
16,8,6,975.66327,895.6486,1085.5837,1079.3857,1030.6235,987.5172,0.4877554774284363
16,8,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
16,8,8,1086.5791,916.4185,1211.2725,1079.3752,1148.9258,997.89685,0.4106701910495758
16,8,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
18,9,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
18,9,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
18,9,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
18,9,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
18,9,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
18,9,6,982.2656,912.6705,1087.5404,1079.434,1034.9031,996.05225,0.5295324325561523
18,9,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
18,9,8,1084.1661,917.7478,1211.8921,1079.4027,1148.029,998.57526,0.4877186715602875
18,9,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
20,10,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
20,10,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
20,10,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
20,10,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
20,10,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
20,10,6,985.20795,926.064,1090.9478,1079.3446,1038.0779,1002.70435,0.5018505454063416
20,10,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
20,10,8,1088.9109,928.05597,1210.0249,1079.0355,1149.4679,1003.5458,0.42071568965911865
20,10,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
22,11,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
22,11,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
22,11,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
22,11,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
22,11,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
22,11,6,985.6216,938.1346,1093.7761,1079.7422,1039.6989,1008.93835,0.4182160794734955
22,11,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
22,11,8,1089.4314,934.9563,1207.9131,1080.0,1148.6722,1007.47815,0.3572657108306885
22,11,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
22,11,10,161.798,781.9988,300.2964,1078.95,231.0472,930.47437,0.40470215678215027
24,12,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
24,12,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
24,12,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
24,12,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
24,12,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
24,12,6,988.7375,956.9285,1096.5261,1079.9913,1042.6318,1018.45996,0.5193501710891724
24,12,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
24,12,8,1089.4314,934.9563,1207.9131,1080.0,1148.6722,1007.47815,0.3572657108306885
24,12,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
24,12,10,161.798,781.9988,300.2964,1078.95,231.0472,930.47437,0.40470215678215027
26,13,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
26,13,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
26,13,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
26,13,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
26,13,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
26,13,6,988.7375,956.9285,1096.5261,1079.9913,1042.6318,1018.45996,0.5193501710891724
26,13,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
26,13,8,1089.4314,934.9563,1207.9131,1080.0,1148.6722,1007.47815,0.3572657108306885
26,13,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
26,13,10,161.798,781.9988,300.2964,1078.95,231.0472,930.47437,0.40470215678215027
28,14,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
28,14,2,510.25604,959.0281,643.09863,1079.3712,576.67737,1019.19965,0.39614081382751465
28,14,3,1040.3995,977.6778,1174.5435,1079.3477,1107.4714,1028.5127,0.4117649793624878
28,14,4,421.73718,813.11566,528.324,1079.4819,475.03058,946.2988,0.4231169819831848
28,14,5,227.82106,762.1878,349.5637,1080.0,288.69238,921.0939,0.36087796092033386
28,14,6,988.7375,956.9285,1096.5261,1079.9913,1042.6318,1018.45996,0.5193501710891724
28,14,7,382.2107,881.23175,481.16815,1079.3784,431.68942,980.30505,0.404293954372406
28,14,8,1089.4314,934.9563,1207.9131,1080.0,1148.6722,1007.47815,0.3572657108306885
28,14,9,344.03824,623.098,436.7818,912.3872,390.41003,767.7426,0.3504970371723175
28,14,10,161.798,781.9988,300.2964,1078.95,231.0472,930.47437,0.40470215678215027
30,15,1,281.66943,944.1288,391.77948,1079.3337,336.72446,1011.73126,0.3855769634246826
