start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,38,0.34871915,3.3991621191710464,0.0,6.00306370072328,0.6891943019101916,536.7921142578125,3.5454388533108814,0.6557982541000774,0.6557982541000774,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7391304347826086,0.1562867215041128,0.06462984723854288,0.01762632197414806,0.009400705052878966,0.007050528789659225,0.0023501762632197414,0.0035252643948296123,0.0,0.0,0.0,0.0,0.0,0.008998875130484954,0.05736782895684159,0.0,0.17210348687052476,0.06186726652208407,0.16647918991397168,0.04499437565242478,0.08211473556567521,0.11923509547892565,0.13160854878334247,0.15523059600086547
16,47,,,48,0.3188761,2.352440119662887,0.0,5.3611360718268815,0.6625187470359475,523.4113159179688,2.939847872031184,0.630536198081938,0.6482196372946356,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8715415019762845,0.09090909090909091,0.020750988142292492,0.00691699604743083,0.003952569169960474,0.0029644268774703555,0.001976284584980237,0.0009881422924901185,0.0,0.0,0.0,0.0,0.0,0.02641509431470274,0.04056603769757921,0.0,0.10660377348433606,0.10754716970986115,0.16415094324136703,0.014150943382876468,0.12452830176931291,0.14150943382876466,0.1311320753479886,0.14339622627981485
32,63,,,51,0.24914077,2.0596951906248524,0.0,5.591814949559556,0.6467453796720013,460.9942321777344,2.673549368689893,0.6191872355546809,0.6395099167726492,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8958543983822043,0.07077856420626896,0.019211324570273004,0.006066734074823054,0.0020222446916076846,0.0020222446916076846,0.0020222446916076846,0.0020222446916076846,0.0,0.0,0.0,0.0,0.0,0.028846153818417156,0.010576923066752958,0.0,0.02788461535780325,0.15961538446190826,0.16153846138313607,0.014423076909208578,0.19134615366216715,0.14038461524963017,0.14807692293454142,0.11730769219489644
48,79,,,46,0.25218818,1.9989457274292692,0.0,5.823636909118595,0.6468222030761203,470.8195495605469,2.6916875623608,0.6199645446914779,0.6336463051482978,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9049255441008018,0.0572737686139748,0.019473081328751432,0.009163802978235968,0.004581901489117984,0.0,0.003436426116838488,0.001145475372279496,0.0,0.0,0.0,0.0,0.0,0.010881392806440269,0.0,0.0,0.026115342735456647,0.19042437411270471,0.12404787799341907,0.033732317699964834,0.2143634382868733,0.10228509238053853,0.20021762763850096,0.09793253525796242
64,95,,,39,0.1727696,2.1458852225698455,0.0,5.8066940073965005,0.6290091386945754,468.1156921386719,2.5386876614517697,0.6133888282313049,0.6275690620732,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8972222222222223,0.07083333333333333,0.019444444444444445,0.005555555555555556,0.002777777777777778,0.001388888888888889,0.001388888888888889,0.001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07378129107538697,0.18050065852371455,0.07246376802046935,0.02108036887868199,0.17523056630404404,0.1080368905032452,0.2661396570933601,0.10276679828357471
80,111,,,43,0.26961485,2.512794613309214,0.0,6.087696616128782,0.6796849401631048,402.0861511230469,3.000120448620757,0.6330854563243303,0.629223980348539,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8714069591527988,0.08774583963691376,0.025718608169440244,0.007564296520423601,0.0030257186081694403,0.0030257186081694403,0.0,0.0015128593040847202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09374999986683238,0.1335227270830643,0.03267045449904765,0.0014204545434368544,0.12926136345275374,0.19318181790741218,0.28835227231768146,0.1278409089093169
96,127,,,41,0.2862256,2.0780376639571285,0.0,5.029542133899107,0.6965789796682188,434.7775573730469,2.719157744407709,0.6211406027864627,0.6267989670799161,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8533333333333334,0.08533333333333333,0.029333333333333333,0.02,0.0026666666666666666,0.005333333333333333,0.0026666666666666666,0.0013333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07964601759842475,0.15044247768591343,0.006321112507811488,0.029077117535932846,0.13527180766716584,0.24146649779839888,0.2692793928327694,0.08849557510936085
112,143,,,47,0.31034008,1.9675743030975776,0.0,5.746942188111869,0.6898009696918579,419.51165771484375,2.8388018300376934,0.626246081714584,0.6266331014703164,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9094117647058824,0.058823529411764705,0.01411764705882353,0.007058823529411765,0.0058823529411764705,0.002352941176470588,0.001176470588235294,0.001176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.010033444804867954,0.0,0.07692307683732098,0.16053511687788727,0.035674470417308285,0.04905239682379889,0.15607580807572374,0.22185061290763589,0.2329988849130447,0.05685618722758508
128,159,,,52,0.3287527,2.804338060593428,0.0,6.821367379484019,0.6760001130471547,441.59063720703125,3.372422161025615,0.6486630503683201,0.6332420861397174,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8834745762711864,0.06885593220338983,0.025423728813559324,0.01059322033898305,0.005296610169491525,0.0031779661016949155,0.001059322033898305,0.00211864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.03413654615046532,0.0,0.12148594365312657,0.09337349388215513,0.09236947781890614,0.03815261040346123,0.13755020066511023,0.2148594375352817,0.199799196586547,0.06827309230093064
144,175,,,49,0.3097947,3.423655401598082,0.0,6.434429164104063,0.7067101562145353,499.270263671875,3.5331392617555855,0.6552932876983733,0.6398574466073141,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8488253319713994,0.10112359550561797,0.03268641470888662,0.009193054136874362,0.0040858018386108275,0.0020429009193054137,0.0010214504596527069,0.0010214504596527069,0.0,0.0,0.0,0.0,0.0,0.0048638132248406485,0.024319066124203242,0.0,0.1605058364197414,0.019455252899362594,0.12743190649082498,0.032101167283948275,0.1478599220351557,0.210116731313116,0.1770428013841996,0.09630350185184483
