frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
96,48,1,869.3966,571.3069,945.95917,789.88513,907.67786,680.596,0.7422691583633423
96,48,2,201.32948,601.552,295.8828,792.1368,248.60614,696.84436,0.6897872090339661
96,48,3,631.95306,585.2006,726.5219,828.6707,679.2375,706.93567,0.67655348777771
96,48,4,794.8165,563.4439,874.7715,776.2176,834.794,669.83075,0.6579638123512268
96,48,5,518.4051,597.49493,603.07764,780.2591,560.74133,688.877,0.5694192051887512
96,48,6,42.252415,600.165,131.4797,788.12994,86.86606,694.14746,0.5004264116287231
96,48,7,717.3326,550.4679,793.0174,716.5333,755.175,633.5006,0.4693252742290497
98,49,1,869.8258,571.22644,945.14,789.9283,907.4829,680.5774,0.7558257579803467
98,49,2,202.52151,601.66406,295.85013,791.6713,249.18582,696.6677,0.6572480201721191
98,49,3,632.1208,586.1916,726.48016,828.6463,679.3005,707.41895,0.6657128930091858
98,49,4,796.07184,564.39325,875.24915,776.166,835.6605,670.27966,0.6641422510147095
98,49,5,518.3303,597.5467,602.963,780.21387,560.64667,688.88025,0.5672109723091125
98,49,6,42.517834,600.3257,131.06628,788.0461,86.79206,694.1859,0.5240684747695923
98,49,7,717.3586,550.3255,790.65247,716.3738,754.0055,633.3496,0.4388352036476135
100,50,1,870.8729,570.1127,945.81635,789.9326,908.3446,680.02264,0.7607670426368713
100,50,2,205.33005,602.68335,296.7274,790.433,251.02872,696.55817,0.6042587757110596
100,50,3,631.59705,587.7288,726.57764,828.76483,679.08734,708.2468,0.6679103374481201
100,50,4,797.00244,563.12164,874.95,778.54266,835.9762,670.83215,0.6577357649803162
100,50,5,518.2404,598.0716,602.8544,780.03284,560.54736,689.05225,0.5883569717407227
100,50,6,41.35445,600.3304,127.91235,788.1762,84.6334,694.2533,0.47150638699531555
100,50,7,717.4102,548.4426,794.3214,716.3581,755.86584,632.4004,0.4225757122039795
102,51,1,871.81384,570.9583,948.4121,793.4115,910.113,682.18494,0.7688353061676025
102,51,2,206.40356,602.6609,296.55548,790.3984,251.47952,696.52966,0.5955472588539124
102,51,3,631.6429,585.1881,726.35864,828.8415,679.00073,707.0148,0.6747961044311523
102,51,4,797.80707,562.80286,875.4962,775.7009,836.6516,669.2519,0.6689015030860901
102,51,5,518.32794,598.6101,602.56335,780.03534,560.4457,689.32275,0.579779863357544
102,51,6,42.62466,598.15027,126.80777,786.991,84.71622,692.5707,0.4473510980606079
102,51,7,717.18994,548.8434,788.7392,716.54614,752.9646,632.69476,0.4759812653064728
104,52,1,871.7842,570.2977,951.6134,797.3863,911.6988,683.84204,0.7757585644721985
104,52,2,210.09999,601.4352,296.28638,790.7108,253.19318,696.073,0.6225927472114563
104,52,3,631.5083,586.6715,726.9241,828.7596,679.2162,707.7156,0.6615506410598755
