frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
94,47,1,319.85754,172.71107,666.5406,479.86685,493.19907,326.28897,0.9075936079025269
94,47,2,123.085594,170.7546,378.9039,479.9211,250.99475,325.33786,0.8657242059707642
94,47,3,535.3126,188.2666,650.0594,425.3923,592.68604,306.82947,0.7259869575500488
94,47,4,0.05872861,270.28452,36.317276,479.7764,18.188002,375.03046,0.7213380336761475
94,47,5,58.68562,246.18594,153.70955,479.73477,106.197586,362.96036,0.66081303358078
94,47,6,631.8997,214.33267,733.9374,480.0,682.9186,347.16632,0.6343034505844116
94,47,7,165.96512,218.17667,260.4085,347.86285,213.18681,283.01978,0.6130040287971497
94,47,8,761.333,209.83025,842.1207,470.58304,801.72687,340.20663,0.49333667755126953
94,47,9,718.6294,242.36302,775.2632,453.46054,746.9463,347.91177,0.41117748618125916
94,47,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
96,48,1,314.90964,174.66878,692.37695,479.84534,503.6433,327.25705,0.9013292193412781
96,48,2,123.04385,169.85835,379.9308,479.9337,251.48732,324.89603,0.8670533895492554
96,48,3,536.477,187.55853,648.5507,403.25632,592.51385,295.4074,0.8044554591178894
96,48,4,0.05882087,271.21027,28.652912,480.0,14.355866,375.60513,0.6240864396095276
96,48,5,55.499516,245.8764,153.62526,480.0,104.562386,362.9382,0.7204286456108093
96,48,6,636.7796,216.53271,734.9077,479.18854,685.8436,347.86063,0.5585244297981262
96,48,7,166.06088,217.72093,262.40146,346.74338,214.23117,282.23215,0.6358906030654907
96,48,8,760.62384,209.91975,840.70953,472.0192,800.6667,340.96948,0.5509216785430908
96,48,9,720.6289,242.36176,776.2088,454.39536,748.4188,348.37854,0.4276973605155945
96,48,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
98,49,1,312.2296,174.15813,702.88477,479.73248,507.5572,326.9453,0.9063853025436401
98,49,2,129.65485,170.21565,379.8743,479.66507,254.76457,324.94037,0.7739335298538208
98,49,3,536.7022,187.64145,648.97705,386.9457,592.8396,287.29358,0.8199628591537476
98,49,4,0.013711826,272.6514,23.362026,462.6092,11.687869,367.6303,0.3979644477367401
98,49,5,46.27807,244.7928,153.7558,479.67282,100.01694,362.23282,0.6245525479316711
98,49,6,628.7537,211.02158,735.5662,478.88522,682.16,344.9534,0.48876070976257324
98,49,7,166.09285,217.5548,262.04712,346.05426,214.06998,281.80453,0.6537970900535583
98,49,8,761.4144,210.38913,841.0197,471.93536,801.21704,341.16223,0.5529844760894775
98,49,9,722.192,242.3984,776.3273,451.30463,749.25964,346.8515,0.4407886862754822
98,49,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
100,50,1,315.0702,174.53348,709.8802,479.81088,512.4752,327.17218,0.9082126617431641
100,50,2,131.50586,170.0048,379.39688,479.5262,255.45137,324.7655,0.7431252598762512
100,50,3,536.5015,187.80206,649.5187,378.2041,593.01013,283.00308,0.7073811888694763
100,50,4,0.07483284,271.8664,22.072197,396.66553,11.073515,334.26596,0.40016859769821167
100,50,5,42.152355,244.71217,153.93156,479.61993,98.04196,362.16605,0.6100202202796936
100,50,6,633.4178,208.31023,740.54913,479.8378,686.98346,344.074,0.5983049869537354
100,50,7,166.28175,217.30185,258.02975,345.81445,212.15576,281.55817,0.651218056678772
100,50,8,761.45026,210.49997,844.2611,474.7412,802.8557,342.6206,0.602351725101471
100,50,9,722.43805,241.21904,777.09216,451.6193,749.76514,346.41916,0.4849536418914795
100,50,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
102,51,1,312.86465,173.87454,709.69507,479.8265,511.27985,326.85052,0.918489933013916
102,51,2,130.96329,171.2521,378.67987,479.76733,254.82158,325.5097,0.7812360525131226
102,51,3,538.25354,187.561,648.4241,370.20905,593.3388,278.885,0.7914732098579407
102,51,4,0.050002035,272.0037,22.133318,394.16254,11.09166,333.08313,0.38120245933532715
102,51,5,45.373886,245.84602,153.25418,479.93552,99.31403,362.89078,0.553696870803833
102,51,6,631.04193,208.82823,736.818,480.0,683.92993,344.41412,0.6293179988861084
102,51,7,166.59009,216.91107,253.77715,346.57886,210.18362,281.74496,0.6374553442001343
102,51,8,762.34076,210.4581,844.7525,474.48,803.54663,342.46906,0.5856738090515137
102,51,9,722.60315,240.55655,776.5437,450.64005,749.5734,345.5983,0.5034692883491516
102,51,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
104,52,1,311.80963,172.30421,711.7805,479.78894,511.79507,326.04657,0.9106109142303467
104,52,2,125.468,171.75131,377.01828,479.92917,251.24313,325.84024,0.8455082774162292
104,52,3,538.5911,186.69228,648.7494,369.54956,593.6703,278.1209,0.6627466082572937
104,52,4,0.031669226,275.1245,22.562962,415.84863,11.297316,345.48657,0.35458245873451233
104,52,5,51.29685,246.14737,153.65045,479.8719,102.47365,363.00964,0.5628746747970581
104,52,6,629.6202,203.54549,732.0384,479.5757,680.8293,341.5606,0.5722569227218628
104,52,7,166.8501,217.11494,253.32518,343.79965,210.08765,280.4573,0.6461923122406006
104,52,8,762.63855,210.20566,843.6988,475.36267,803.1687,342.78418,0.6087489724159241
104,52,9,722.0306,240.51787,775.23676,456.25037,748.63367,348.38412,0.4086361229419708
104,52,10,355.42874,242.63991,395.5475,317.9498,375.4881,280.29486,0.38061538338661194
106,53,1,316.8018,171.74046,711.48346,479.59668,514.14264,325.66858,0.9170354008674622
