frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,469.88083,873.0759,574.84607,1079.9955,522.36346,976.5357,0.7379195690155029
0,0,2,198.1858,850.71747,317.97385,1079.3993,258.07983,965.05835,0.6555454730987549
0,0,3,708.11176,861.58026,827.9125,1079.3337,768.0121,970.45703,0.6195699572563171
0,0,4,374.731,938.5663,476.0366,1078.8682,425.3838,1008.7172,0.5963375568389893
0,0,5,735.4363,587.75037,798.5831,787.66565,767.0097,687.708,0.589198112487793
0,0,6,671.17053,596.4153,734.408,788.154,702.7893,692.28467,0.5630188584327698
0,0,7,94.07921,674.72156,176.01624,933.62415,135.04773,804.17285,0.5541906952857971
0,0,8,989.5942,797.997,1068.3385,1044.7623,1028.9663,921.37964,0.5258435606956482
0,0,9,360.08112,619.6608,435.53333,851.2413,397.80722,735.45105,0.4714990258216858
0,0,10,12.817493,908.2535,113.17866,1079.4565,62.998077,993.855,0.4586005210876465
0,0,11,444.10025,520.42975,501.17157,714.08746,472.63593,617.2586,0.4160941541194916
0,0,12,574.36505,730.30585,643.3676,989.0654,608.86633,859.68567,0.3891003131866455
0,0,13,290.8243,632.0137,369.057,844.30365,329.94067,738.1587,0.3694782555103302
0,0,14,483.96658,728.7979,561.3504,901.6375,522.6585,815.2177,0.35747048258781433
0,0,15,949.0601,735.7601,1036.2296,994.17444,992.6449,864.9673,0.3522612750530243
2,1,1,471.73892,875.8335,573.00616,1078.9559,522.37256,977.3947,0.7411359548568726
2,1,2,194.22635,862.0473,311.38095,1079.8799,252.80365,970.9636,0.43011611700057983
2,1,3,710.40686,872.14996,813.957,1078.9716,762.1819,975.5608,0.6526366472244263
2,1,4,374.731,938.5663,476.0366,1078.8682,425.3838,1008.7172,0.5963375568389893
2,1,5,734.41266,599.96106,794.41724,799.3742,764.4149,699.6676,0.5805484056472778
2,1,6,672.6734,600.3325,735.4741,786.76276,704.0737,693.5476,0.5213568210601807
2,1,7,88.01929,682.524,169.61243,946.51294,128.81586,814.51843,0.4428102374076843
2,1,8,990.56494,790.359,1070.2137,1044.3956,1030.3894,917.3773,0.4411577880382538
2,1,9,366.03766,630.7463,425.39044,851.6204,395.71405,741.18335,0.4402202367782593
2,1,10,12.817493,908.2535,113.17866,1079.4565,62.998077,993.855,0.4586005210876465
2,1,11,441.90588,521.36615,499.6477,716.9877,470.7768,619.1769,0.3906945288181305
2,1,12,574.36505,730.30585,643.3676,989.0654,608.86633,859.68567,0.3891003131866455
2,1,13,299.28122,632.0309,370.14218,849.7226,334.7117,740.8767,0.41685622930526733
2,1,14,486.8918,736.0548,559.8671,911.28534,523.37946,823.67004,0.3900333046913147
2,1,15,945.7984,738.89374,1029.8987,1001.59155,987.8485,870.2427,0.39606884121894836
