start_frame,end_frame,pred,p_Normal,p_Light_Panic,p_Fight,p_Violent_Group,p_Stampede,risk_score,risk_ema,alert
672,703,Fight,0.14392109215259552,0.10250705480575562,0.5672990679740906,0.17349572479724884,0.012777049094438553,1.8087005615234375,1.5931357700795687,0
688,719,Normal,0.36724838614463806,0.20901399850845337,0.18090106546878815,0.22293180227279663,0.01990477554500103,1.3192306756973267,1.5109642417648959,0
704,735,Light_Panic,0.21209712326526642,0.49951648712158203,0.11926024407148361,0.15048038959503174,0.01864572800695896,1.2640610933303833,1.436893297234542,0
720,751,Fight,0.16411125659942627,0.3380463719367981,0.4213900864124298,0.06531763076782227,0.011134684085845947,1.4213181734085083,1.4322207600867318,0
736,767,Fight,0.029445001855492592,0.026093587279319763,0.9124295115470886,0.030199341475963593,0.0018325427081435919,1.9488807916641235,1.5872187695599493,0
752,783,Fight,0.13895250856876373,0.23904886841773987,0.5202784538269043,0.0987907275557518,0.002929456066340208,1.5876957178115845,1.5873618540354397,0
768,799,Light_Panic,0.18707022070884705,0.6426411271095276,0.08367903530597687,0.06262058019638062,0.02398902177810669,1.0938169956207275,1.439298396511026,0
784,815,Normal,0.3438473343849182,0.3293531835079193,0.09991782903671265,0.21426673233509064,0.012614952400326729,1.2224489450454712,1.3742435610713595,0
800,831,Light_Panic,0.26506608724594116,0.29765525460243225,0.1491757035255432,0.2756118178367615,0.012491111643612385,1.472806453704834,1.4038124288614018,0
816,847,Light_Panic,0.21480725705623627,0.4112372398376465,0.2189101278781891,0.13330887258052826,0.021736538037657738,1.3359302282333374,1.3834477686729825,0
832,863,Fight,0.0916566550731659,0.13251475989818573,0.6520194411277771,0.1156616136431694,0.008147583343088627,1.8161288499832153,1.5132520930660522,0
848,879,Fight,0.02973143197596073,0.06535430252552032,0.8433516621589661,0.05725681781768799,0.0043057771399617195,1.9410512447357178,1.641591838566952,0
864,895,Fight,0.024507613852620125,0.021506235003471375,0.8663005828857422,0.08352166414260864,0.004163843113929033,2.0213277339935303,1.7555126071949254,0
880,911,Fight,0.0981794074177742,0.058083370327949524,0.6436982154846191,0.19482813775539398,0.005210817791521549,1.9508075714111328,1.8141010964597875,0
896,927,Fight,0.07103590667247772,0.0738057792186737,0.7940390706062317,0.04682851955294609,0.014290840364992619,1.8595328330993652,1.8277306174516608,0
900,931,Fight,0.07134951651096344,0.08105486631393433,0.7629990577697754,0.07129639387130737,0.013300112448632717,1.8741426467895508,1.8416542262530275,0
