start_frame,end_frame,pred,p_Normal,p_Light_Panic,p_Fight,p_Violent_Group,p_Stampede,risk_score,risk_ema,alert
0,31,Fight,0.05033602565526962,0.1556115299463272,0.7668126821517944,0.025199078023433685,0.0020406926050782204,1.7729969024658203,1.7729969024658203,0
16,47,Fight,0.018494045361876488,0.1698991358280182,0.7966958284378052,0.012742542661726475,0.002168420935049653,1.8101921081542969,1.7841554641723631,0
32,63,Fight,0.06561703234910965,0.26128089427948,0.6327826976776123,0.03657655790448189,0.003742782399058342,1.6515470743179321,1.7443729472160339,0
48,79,Fight,0.03448692336678505,0.16816772520542145,0.7647711634635925,0.029129082337021828,0.003445131005719304,1.7988777160644531,1.7607243778705595,0
64,95,Fight,0.025173505768179893,0.3268042504787445,0.599929690361023,0.04311696067452431,0.004975560121238232,1.6759167909622192,1.7352821017980573,0
80,111,Light_Panic,0.019570887088775635,0.9297113418579102,0.041104402393102646,0.007524063345044851,0.0020893369801342487,1.0428496599197388,1.5275523692345616,0
96,127,Light_Panic,0.051175184547901154,0.7265107035636902,0.19687236845493317,0.022853823378682137,0.0025879815220832825,1.1991688013076782,1.4290372988564966,0
112,143,Fight,0.0051459199748933315,0.03826760873198509,0.9488100409507751,0.006645462941378355,0.0011309365509077907,1.9603478908538818,1.588430476455712,0
128,159,Fight,0.0026975716464221478,0.004919790662825108,0.9907958507537842,0.0013133229222148657,0.0002734112204052508,1.9915450811386108,1.7093648578605816,0
144,175,Fight,0.0011112125357612967,0.003548855660483241,0.9938344955444336,0.0012664609821513295,0.0002390101144555956,1.9959733486175537,1.7953474050876732,0
160,191,Fight,0.0016262104036286473,0.0024008494801819324,0.9915153980255127,0.004356794524937868,0.00010072925942949951,1.9989049434661865,1.8564146666012271,0
176,207,Fight,0.0028624851256608963,0.005331121385097504,0.9603389501571655,0.031263045966625214,0.0002043793210759759,2.020615816116333,1.905675011455759,0
192,223,Fight,0.0043074642308056355,0.002304584253579378,0.9855462312698364,0.0077472832053899765,9.443167800782248e-05,1.9970166683197021,1.9330775085149419,0
208,239,Fight,0.004458315204828978,0.0021153695415705442,0.98406583070755,0.009248307906091213,0.00011220444139325991,1.9984407424926758,1.9526864787082618,0
224,255,Fight,0.0029297000728547573,0.0007153700571507215,0.9867379069328308,0.009513666853308678,0.0001033424778142944,2.003145694732666,1.967824243515583,0
