start_proc_frame,end_proc_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,pred_prob,pred_alert_raw,pred_alert,alert_tier
160,191,44,0.24651124,2.3484341443443273,0.0,4.724747461385272,0.7796277569046923,439.2699279785156,2.732140557293782,0.6216959309758353,0.6121607271573792,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9140461215932913,0.05345911949685535,0.011530398322851153,0.011530398322851153,0.0031446540880503146,0.0020964360587002098,0.0031446540880503146,0.0010482180293501049,0.0,0.0,0.0,0.0,0.0300601202103606,0.11723446882040635,0.024048096168288482,0.0,0.10921843676431019,0.20240480941642805,0.22745490959172854,0.0,0.11623246481339432,0.1102204407713222,0.05711422839968514,0.0060120240420721205,0.5302976369857788,1,0,1
176,207,42,0.27956715,2.2447399846860727,0.0,4.720445088505105,0.7876639453344183,470.5557861328125,2.777479047636451,0.6236327341472107,0.6156023292543287,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9463220675944334,0.03479125248508946,0.008946322067594433,0.002982107355864811,0.004970178926441352,0.0,0.0009940357852882703,0.0009940357852882703,0.0,0.0,0.0,0.0,0.020992366392182854,0.12690839682546906,0.0076335877789755835,0.0,0.12595419835309712,0.1889312975296457,0.1812977097506701,0.0,0.12213740446360934,0.1354961830768166,0.0696564884831522,0.020992366392182854,0.523145318031311,0,0,0
192,223,45,0.27577984,1.9219079640255239,0.0,4.532275689352781,0.7870829674478713,468.6741638183594,2.6103039863496673,0.6164721065785193,0.6158632624515858,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9602649006622517,0.027436140018921477,0.004730368968779565,0.001892147587511826,0.001892147587511826,0.000946073793755913,0.001892147587511826,0.000946073793755913,0.0,0.0,0.0,0.0,0.03629764062041956,0.10435571678370624,0.013611615232657335,0.0,0.14428312146616776,0.1805807620865873,0.17059891091597193,0.0245009074187832,0.11070780389227966,0.12794918318697895,0.058076224992671295,0.029038112496335648,0.5280337333679199,0,0,0
208,239,48,0.27649042,1.8481131967637097,0.0,3.7612480263577375,0.7921242123159734,473.2900695800781,2.4699331516313308,0.6104201773466074,0.6142303369200923,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.937794533459001,0.043355325164938736,0.012252591894439209,0.002827521206409048,0.000942507068803016,0.0,0.000942507068803016,0.001885014137606032,0.0,0.0,0.0,0.0,0.040577096446729397,0.09197475194591996,0.027953110885524695,0.0,0.13976555442762348,0.18034265087435286,0.1740306580937505,0.05229936875356233,0.10279531099838113,0.1036970242527529,0.05770964827979292,0.02885482413989646,0.5323264002799988,1,0,1
224,255,45,0.26656175,2.150251252469472,0.0,3.460726117142295,0.7925863525091045,459.1343688964844,2.521165603306238,0.6126330589542643,0.6137511535303439,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8698284561049445,0.09788092835519677,0.024217961654894045,0.0030272452068617556,0.004036326942482341,0.0,0.0,0.0010090817356205853,0.0,0.0,0.0,0.0,0.041505791465728,0.10135135125352185,0.021235521215023624,0.0,0.10231660221784111,0.15347490332676167,0.17567567550610455,0.053088803037559064,0.13803088789765358,0.1177606176469492,0.06467181460939013,0.030888030858216182,0.5299367308616638,0,0,0
240,271,49,0.27005216,2.5506997908694338,1.3719575774554633,3.6325727643340735,0.8154995213718315,543.8912963867188,2.729595879090642,0.6215871097375085,0.6161019403924933,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8278278278278278,0.13013013013013014,0.03003003003003003,0.007007007007007007,0.003003003003003003,0.001001001001001001,0.0,0.001001001001001001,0.0,0.0,0.0,0.0,0.05725190834231687,0.12118320599123739,0.008587786251347531,0.0,0.0696564884831522,0.09064885487533506,0.15839694641374336,0.0438931297291096,0.16412213724797503,0.14790076321765191,0.07633587778975584,0.06202290070417661,0.5251433849334717,0,0,0
256,287,44,0.2842076,2.414637646961666,1.1524718342735167,3.6806760002971672,0.833034211986684,484.5782470703125,2.728296005033522,0.6215315168814668,0.6177308133391853,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7794253938832252,0.15940685820203893,0.03614457831325301,0.012048192771084338,0.004633920296570899,0.005560704355885079,0.0018535681186283596,0.0009267840593141798,0.0,0.0,0.0,0.0,0.06500445230186602,0.11843276926230384,0.016918967037471977,0.0,0.05164737306175656,0.06322350840318476,0.15405164723592907,0.034728406024284585,0.17364203012142293,0.1433659838438415,0.07569011569395359,0.10329474612351312,0.5249103307723999,0,0,0
272,303,46,0.2809695,2.4202838539904015,0.9055556528166078,4.229481847956509,0.8353101095966061,499.5531921386719,2.806145576304101,0.6248553004404392,0.6198681594695614,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.934640522875817,0.04948646125116713,0.01027077497665733,0.003734827264239029,0.0009337068160597573,0.0,0.0,0.0009337068160597573,0.0,0.0,0.0,0.0,0.05998209484334637,0.07609668748782748,0.03849597131737155,0.0,0.051029543374190196,0.08773500439773052,0.16114592644481116,0.018800358085227967,0.18800358085227967,0.11101163821753657,0.07430617719399625,0.133393016890427,0.5256446599960327,0,0,0
288,319,41,0.26831013,2.4802210760642707,1.1164136542344187,4.139166073304147,0.8303720022634781,578.8236694335938,2.7819618437379865,0.6238240201793459,0.6210549176824968,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9265873015873016,0.061507936507936505,0.007936507936507936,0.001984126984126984,0.000992063492063492,0.0,0.0,0.000992063492063492,0.0,0.0,0.0,0.0,0.05719733073670416,0.05433746419986895,0.04099142036130465,0.0,0.0610104861191511,0.1163012391646318,0.15919923721715992,0.003813155382446944,0.15538608183471297,0.1086749283997379,0.10200190648045575,0.14108674915053693,0.5117731690406799,0,0,0
304,335,39,0.25397006,2.4857530130648477,1.1126995899968621,4.155508754104877,0.8053371037072613,487.0017395019531,2.7357549022825323,0.621850474640188,0.6212935847698041,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8763102725366876,0.09224318658280922,0.01781970649895178,0.006289308176100629,0.0031446540880503146,0.0020964360587002098,0.0010482180293501049,0.0010482180293501049,0.0,0.0,0.0,0.0,0.06344410869743795,0.06545820738624551,0.032225579020920866,0.0,0.06646525673064929,0.1278952667392797,0.14702920428295146,0.0,0.10876132919560792,0.12890231608368347,0.12890231608368347,0.13091641477249102,0.5171201825141907,0,0,0
320,351,40,0.20891263,2.075972162758834,0.9305646410923512,3.6621525404750312,0.7913574945608178,545.1569213867188,2.3768078089448306,0.6063862055086409,0.6168213709914551,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9241758241758242,0.056043956043956046,0.008791208791208791,0.005494505494505495,0.002197802197802198,0.001098901098901099,0.001098901098901099,0.001098901098901099,0.0,0.0,0.0,0.0,0.03789473680221607,0.06842105255955679,0.018947368401108035,0.0,0.08526315780498615,0.1347368419634349,0.1526315787867036,0.0,0.09789473673905817,0.14105263143047092,0.12210526302936288,0.14105263143047092,0.5136494040489197,0,0,0
336,367,41,0.2278709,1.7457102868750534,0.0,2.9726061441385214,0.7818552196839547,529.6182250976562,2.1829653170877674,0.5979432939832148,0.6111579478889829,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.861198738170347,0.1156677181913775,0.012618296529968454,0.005257623554153523,0.002103049421661409,0.002103049421661409,0.0,0.0010515247108307045,0.0,0.0,0.0,0.0,0.007056451605789867,0.07459677411835003,0.0020161290302256763,0.0,0.11794354826820207,0.11895161278331491,0.1713709675691825,0.0,0.07862903217880138,0.1582661288727156,0.11290322569263787,0.1582661288727156,0.5168570876121521,0,0,0
352,383,42,0.21208972,1.8349639763143017,0.641531001236127,2.816173450235694,0.7658050794212283,504.8218078613281,2.1461190509211234,0.596331678105743,0.6067100669540109,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7814776274713839,0.17065556711758584,0.027055150884495317,0.008324661810613945,0.004162330905306972,0.005202913631633715,0.002081165452653486,0.001040582726326743,0.0,0.0,0.0,0.0,0.0029910269162601926,0.06679960112981097,0.0,0.0,0.13160518431544846,0.09970089720867309,0.1904287136685656,0.0,0.04586241271598962,0.15553339964553,0.15353938170135656,0.15353938170135656,0.5206881761550903,0,0,0
368,399,43,0.24604769,1.8633230450137082,1.0955220658535616,2.6244631490382395,0.765291286475541,531.17724609375,2.2132926046841757,0.5992681924776169,0.6044775046110926,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7997858672376874,0.16381156316916487,0.02462526766595289,0.0053533190578158455,0.0032119914346895075,0.0021413276231263384,0.0,0.0010706638115631692,0.0,0.0,0.0,0.0,0.01637666323809963,0.05834186278572993,0.014329580333337175,0.0,0.13101330590479704,0.12077789138098476,0.20061412466672043,0.0,0.03275332647619926,0.1033776866905039,0.20470829047624536,0.11770726702384107,0.5193994045257568,0,0,0
384,415,38,0.24256442,1.8072565585748066,0.0,3.3787014814999,0.7571020968592939,506.5906677246094,2.290380116166672,0.6026293235645462,0.6039230502971287,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9157127991675338,0.06763787721123829,0.004162330905306972,0.004162330905306972,0.005202913631633715,0.002081165452653486,0.0,0.001040582726326743,0.0,0.0,0.0,0.0,0.03203203199996794,0.05505505499994489,0.03003002999996994,0.0,0.12012011999987976,0.1521521519998477,0.17617617599982366,0.0,0.04004003999995992,0.06406406399993587,0.21821821799978156,0.11211211199988777,0.5146942138671875,0,0,0
400,431,41,0.22058542,1.8877354459706248,0.0,3.9815230270202537,0.7833458286299624,528.15185546875,2.373793606565488,0.6062553913799339,0.6046227526219702,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9418103448275862,0.034482758620689655,0.01293103448275862,0.007543103448275862,0.0021551724137931034,0.0,0.0,0.0010775862068965517,0.0,0.0,0.0,0.0,0.030959752290031214,0.04127966972004162,0.024767801832024972,0.006191950458006243,0.11042311650111133,0.1506707944781519,0.14860681099214984,0.007223942201007283,0.06088751283706139,0.058823529351059306,0.20949432382921124,0.1506707944781519,0.5164232850074768,0,0,0
416,447,41,0.22241995,1.7388553563581755,0.0,3.437455809622455,0.7929614115601619,486.8478088378906,2.242987258441416,0.6005640488411936,0.6034051414877372,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9504608294930875,0.03571428571428571,0.008064516129032258,0.004608294930875576,0.0,0.0,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,0.015401540137072013,0.061606160548288054,0.026402640234980596,0.024202420215398878,0.11661166103783095,0.10671067094971323,0.1287128711455304,0.027502750244771453,0.09130913081264122,0.08030803071473264,0.1727172715371647,0.14851485132176584,0.5208103060722351,0,0,0
432,463,39,0.22687507,2.0941638050786606,0.5886974817691931,4.22424719927879,0.7819072262794118,524.4612426757812,2.5076345212045092,0.6120490587988802,0.6059983166810801,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9469026548672567,0.035398230088495575,0.008849557522123894,0.0025284450063211127,0.0025284450063211127,0.0025284450063211127,0.0,0.0012642225031605564,0.0,0.0,0.0,0.0,0.0,0.10722891553345913,0.03975903609667586,0.030120481891421105,0.09036144567426332,0.05903614450718537,0.11325301191174336,0.06024096378284221,0.14216867452750762,0.12891566249528233,0.16506024076498765,0.06385542160981275,0.5138007402420044,0,0,0
